a01;a02;a0000;a0400;a04;a0800;a0100;a0320;a1030;a1040;a0910;a1100;a1200;a1300;a1400;a1410;a1420a;a1420b;a1420c;a1420d;a1420e;a1420f;a1420g;a1500;a1510;a1600;a1520;a1530;a2000;a1700;a1710;a1900;a2100;a2200;a2300;a2500;a2400;a2600;a2700;b0100;b0110a;b0110b;b0110c;b0110d;b0110e;b0110f;b0110g;b0120a;b0120b;b0120c;b0120d;b0120e;b0120f;b0130a;b0130b;b0130c;b0208;b0308;b0408;b0201;b0301;b0401;b0202;b0302;b0402;b0203;b0303;b0403;b0204;b0304;b0404;b0205;b0305;b0405;b0206;b0306;b0406;b0207;b0307;b0407;b0209;b0309;b0409;b0210;b0310;b0410;b0212;b0312;b0412;b1100a;b1100b;b1100c;b1100d;b1100e;b1100f;b1100g;b1100i;b1100h;b0502;b0503;b0600;b0720a;b0720b;b0720c;b0720d;b0720e;b0720f;b0720g;b0720h;b0720i;b0710a;b0710b;b0710c;b0710d;b0710e;b0710f;b0710g;b0710h;b0710i;b1000a;b1000b;b1000c;b1000d;b1000e;b1000f;b1000g;b1000h;b1000i;b1000j;b1103;b1201;b1203a;b1203b;b1203c;b1203d;b1203e;b1203f;b1203g;b1204a;b1204b;b1204c;b1204d;b1204e;b1204f;b1204g;b1205a;b1205b;b1205c;b1205d;b1205e;b1206a;b1206b;b1206c;b1206d;b1206e;b1207a;b1207b;b1207c;b1208a;b1208b;b1208c;b1208d;b1209a;b1209b;b1209c;b1209d;b1230a;b1230b;b1230c;b1230d;b1230e;b1230f;b1230g;b1230h;c0100;c0200a;c0200b;c0200c;c0200d;c0200e;c0200f;c0200g;c0200h;c0200i;c0200j;c0200k;c0300;c0500;c0600a;c0600b;c0600c;c0600d;c0600e;c0600f;c0600g;c0600h;c0600i;c0600j;c0600k;c0400a;c0400b;c0400c;c0400d;c0400e;c0400f;c0400g;c0400h;c0400i;c0400j;c0400k;c0400l;c0400m;c0400n;d0101;d0104;d0110;d0113;d0102;d0114;d0115;d0117;d0103;d0116;d0105;d0106;d0107;d0108;d0109;d0111;d0112;d0300;d0400;d0500;d0600;d0610a;d0610b;d0610c;d0610d;d0610e;e0100;e0500;e0600;e0700;e0800;e0900;e1001;e1002;e1003;e1004;e1005;e1200;e1101;e0401;e0402;e0300;e1400;e1500;e1600;e1701;e1702;e1800;e1300;i0100;i0200a;i0200b;i0200c;i0200d;i0200e;i0200h;i0200f;i0200g;i0200j;i0300;i0500a;i0500b;i0500c;i0500d;i0500e;i0500f;i0500g;i0500h;i0500i;i0500k;i0500j;i0800;i0510;i0520a;i0520b;i0520c;i0520e;i0520f;i0520d;i0520g;i0601;i0602;i0700;i0900;i1000;i0400a;i0400b;i0400c;i0400d;i0400e;j0100;j0110;j0200;j0300a;j0300b;j0300c;j0300d;j0300e;j0300f;j0300g;j0300h;j0300i;j0300j;j0300k;j0300l;j0300m;j0300n;j0300p;j0300o;j0400;j0500;j0600;j0700;j0800a;j0800b;j0800c;j0800d;j0800e;j0800f;j0800h;j0800g;j0810;j0900a;j0900b;j0900c;j0900d;j0910a;j0910b;j0910c;j0910d;j0910e;j0910f;j0920;j1000;j1100;j1201;j1202;j1203;j1300;j1400;j1600;k1908;k1901;k1902;k1903;k1904;k1905;k1906;k1907;k1909;k1910;k1912;k0100;k0500;k0600;k0700;k0800;k0900;k1001;k1002;k1003;k1004;k1005;k1200;k1101;k0401;k0402;k0300;k1400;k1500;k1600;k1701;k1702;k1800;k1300;k2020;negativa_pmi;tmp_e0401;age;f0900a;f1000a;weight;a0940;a0930;a0300;a0310;ccaaf;a0930_b;a0950;f1100;f1200;f1200_b;f1300;a0900b;a0900c;a0900d;a0900e;a0900f;a0900l;a0900j;a0900h;a0900g;a0900i;a0900a;a0900k;a1800;a0200;f0900b;f1000b;f0900c;f1000c;f0900d;f1000d;f0900e;f1000e;ID
2022;6;1;1982;39;-98;1;0;1;-98;2;6;-98;8;1;0;0;0;0;0;0;0;1;1;11;-98;1;2;-98;-98;20;0;10;-98;-98;-98;-98;9;4;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;1;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;65;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;3;5;5;3;4;2;1;3;1;2;3;1;3;3;3;3;1;1;-98;100;0;8;0;2;0;3;200;3;0;102;1;1;1;1;-98;6;1;1;3;18;5;10;30;4;1;2;7;7;2;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;1;1;0;0;0;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;1;0;0;0;10;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3;500;2;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;3;-98;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;67.7;39;1;1;1543.3199;-98;-98;-98;-98;3;-98;-98;1;39;-98;1;0;0;0;1;0;0;0;0;0;0;0;0;15;3;-98;-98;1;1;-98;-98;-98;-98;5477
2021;11;1;1969;51;-98;1;0;1;-98;6;4;-98;-98;5;1;1;0;0;0;0;0;0;2;11;-98;1;-98;1;-98;23;0;0;0;-98;-98;-98;11;2;1;0;1;1;0;1;0;0;0;1;1;1;1;0;0;1;0;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1;1;0;1;1;0;1;0;0;1;-98;1;-98;-98;-98;-98;0;-98;7;1;2;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;1;1;1;1;1;1;0;4;1;0;0;0;0;0;0;1;0;0;0;67;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;4;1;5;1;4;1;1;5;5;5;5;1;1;1;1;0;-98;60;5;3;1;0;1;3;200;3;0;102;1;1;1;1;-98;10;1;2;3;18;500;10;30;2;1;1;1;8;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;1;1;1;0;0;0;0;1960;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;1;0;0;10;0;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;7;300;2;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;1;1;1;6;-98;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;58.41;51;1;1;6619.7764;-98;-98;-98;-98;1;-98;-98;1;51;-98;1;0;0;0;1;0;0;0;0;1;0;0;0;59;1;-98;-98;1;1;1;1;1;1;5478
2022;6;1;1969;53;-98;0;1;2;2;2;7;2;-98;4;1;0;0;0;1;1;0;0;5;11;-98;-98;-98;-98;1;18;1;-98;-98;50;8;6;11;2;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;-98;-98;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;-98;-98;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;1;1;0;0;3;0;0;0;1;0;0;0;0;0;1;0;60;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;4;4;5;4;5;4;5;4;5;3;5;4;4;4;3;3;1;1;-98;50;5;3;1;1;0;3;-97;3;1;220;4;1;1;1;-98;6;0;3;3;24;100;1000;30;4;1;1;7;6;3;1;0;0;1;0;0;0;1;0;350;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;4;2;1;1;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;3;400;2;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;1;0;1;2;-5;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;114.11;53;1;1;1760.0702;1;47;0;5;3;-98;4;1;53;-98;1;1;0;0;0;0;0;0;0;0;0;0;0;43;-98;1;1;-98;-98;-98;-98;-98;-98;5479
2021;12;0;1969;52;-98;1;0;2;2;4;7;1;-98;2;0;0;0;1;1;0;0;0;2;4;-98;1;-98;3;-98;16;0;100;60;-98;7;2;11;9;1;1;1;0;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;-98;0;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;1;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;1;0;1;1;0;0;6;1;0;0;1;0;0;0;0;0;0;0;60;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4;5;5;2;1;3;2;2;2;2;2;4;2;4;2;1;4;1;1;-98;100;5;3;0;0;2;3;200;3;0;-97;-97;1;1;1;-98;6;1;2;3;18;5;10;30;4;1;2;1;8;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;1;0;1;0;0;0;0;2000;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;1;0;0;2;5;3;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;7;250;1;500;1;0;0;0;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;1;1;1;4;-98;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;72.23999999999999;52;1;1;2709.7871;1;52;-98;-98;11;-98;18;1;52;-98;0;1;0;0;0;0;0;0;0;0;0;0;0;13;11;1;1;-98;-98;-98;-98;0;0;5480
2021;11;0;1976;45;-98;1;0;2;1;5;8;6;-98;5;1;0;0;1;0;0;0;0;1;11;-98;1;2;-98;-98;20;0;15;-98;-98;8;1;11;4;1;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;0;1;-97;-97;1;1;0;1;0;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;-98;0;0;0;-98;-98;0;-98;7;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;1;1;0;3;1;0;0;1;0;1;0;1;0;0;0;67;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;2;1;5;4;4;2;1;4;4;2;2;2;1;4;1;0;-98;20;1;0;5;2;2;2;200;3;0;102;2;1;1;1;-98;5;0;1;3;18;500;10;30;4;1;2;1;8;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;1;0;1;1;0;0;1;0;2005;-98;-98;-98;-98;-98;-98;-98;-98;1;1;1000;75;1;0;0;0;7;3;0;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;6;150;1;6000;1;0;0;0;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;1;0;5;-98;3;1;1;1;1;1;1;1;1;1;1;1;3;200;3;0;102;1;1;1;1;-98;7;1;1;3;18;100;10;30;4;1;2;1;9;3;0;56.71;45;1;0;6762.9131;1;51;-98;-98;9;-98;19;2;51;-98;1;1;0;0;0;0;0;0;0;0;0;0;0;33;9;0;1;-98;-98;-98;-98;0;0;5481
2022;3;1;1987;34;-98;1;0;1;-98;1;6;-98;3;3;1;0;0;0;0;1;0;0;2;11;-98;1;-98;2;-98;15;0;80;50;-98;-98;-98;7;7;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;-98;-98;1;1;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;1;-98;1;-98;1;-98;-98;0;-98;4;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;63;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4;5;5;4;3;3;2;4;5;2;4;4;2;5;5;2;2;1;1;-98;50;3;4;1;2;0;3;200;3;0;110;4;1;1;1;-98;5;0;1;3;18;100;1;30;4;1;2;1;6;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;0;1;0;0;0;2018;2;-98;-98;-98;-98;-98;-98;-98;1;1;262;80;1;1;2;4;2;1;1;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3;200;2;500;0;0;0;1;0;0;0;0;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;4;-5;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;70.28;34;-98;-98;3652.002;-98;-98;-98;-98;8;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;0;0;0;0;1;0;31;13;-98;-98;-98;-98;-98;-98;-98;-98;5482
2022;5;0;1971;50;-98;1;0;2;2;2;7;5;-98;3;0;0;1;0;0;0;0;0;2;11;-98;1;-98;2;-98;27;0;0;0;-98;3;2;7;3;1;1;1;1;1;1;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1;1;0;1;1;0;1;0;0;0;-98;-98;-98;-98;-98;-98;0;-98;7;1;3;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;-98;-98;-98;-98;0;0;0;0;0;1;0;0;3;1;0;1;0;0;1;0;1;0;0;0;65;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4;5;5;3;1;4;3;2;3;1;4;4;3;4;2;1;5;0;-98;0;50;4;1;4;0;1;2;200;3;0;120;-97;1;1;1;-98;1;1;1;3;18;500;1;30;4;1;2;-97;5;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;0;1;1;1;0;0;0;0;2007;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;1;0;0;10;0;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;7;250;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;5;-98;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;69.26000000000001;50;1;1;1695.0623;1;49;-98;-98;3;-98;21;1;50;-98;0;1;0;0;0;0;0;0;0;0;0;0;0;26;3;0;0;-98;-98;-98;-98;-98;-98;5483
2021;12;1;1969;52;-98;1;0;2;2;3;4;-98;-98;5;0;1;0;0;0;0;0;0;1;11;-98;1;1;-98;-98;29;0;10;-98;-98;4;1;11;3;1;1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;0;-98;-98;-98;-98;-98;-98;0;1;6;0;2;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;1;1;0;2;1;0;0;1;0;1;0;0;0;1;0;65;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;5;1;5;1;4;1;2;1;5;4;3;4;1;4;0;-98;1;100;1;8;0;0;1;2;200;3;0;102;1;1;1;0;-98;10;1;1;3;18;100;10;30;4;1;2;1;8;4;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;10;0;0;0;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;350;2;2000;1;0;0;0;0;0;0;0;1;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;5;-98;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;94.40000000000001;52;1;1;4871.2373;0;47;-98;-98;10;-98;23;1;52;-98;1;1;0;0;0;0;0;0;0;0;0;0;0;15;10;1;1;-98;-98;-98;-98;0;0;5484
2021;11;0;1960;61;-98;1;0;1;-98;1;8;2;-98;5;0;0;1;0;0;0;0;0;2;11;-98;1;-98;1;-98;40;0;0;100;-98;-98;-98;11;8;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;1;-98;1;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;1;0;0;0;0;0;1;0;0;0;1;-5;-5;-5;-5;-5;-5;-5;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;1;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;65;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;3;1;4;4;3;2;1;1;3;3;4;2;1;5;1;0;-98;100;2;4;2;1;1;2;200;3;0;102;1;1;1;1;-98;7;1;1;3;18;500;10;30;4;1;2;1;6;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;1995;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;1;0;0;3;3;4;0;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;7;60;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;5;-98;3;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;91.98;61;-98;-98;7236.8037;-98;-98;-98;-98;1;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;0;0;0;0;1;0;21;13;-98;-98;-98;-98;-98;-98;-98;-98;5485
2022;1;1;1999;22;-98;1;0;1;-98;3;4;-98;-98;5;0;0;1;0;0;0;0;0;9;11;7;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;5;2;1;0;1;0;1;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;1;0;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;0;1;0;4;0;0;1;0;1;1;1;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;5;5;4;1;5;1;2;2;1;4;5;4;2;5;1;2;1;0;-98;60;2;6;2;0;0;4;200;3;0;102;2;1;1;1;-98;10;1;1;3;18;5;10;30;4;1;2;1;7;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;1;0;0;0;1;0;0;0;0;0;1993;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;1;0;0;5;3;2;1;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;300;2;2000;0;0;0;1;0;0;0;0;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;4;-98;3;1;1;1;1;1;1;1;1;1;1;1;4;200;3;0;102;-5;1;1;1;-98;10;1;1;3;1;-97;10;30;4;1;1;1;8;3;0;55;22;0;0;8154.3613;-98;-98;-98;-98;13;-98;-98;4;57;-98;1;0;0;0;1;0;0;0;0;0;0;0;0;-98;13;-98;-98;0;0;1;1;-98;-98;5486
2022;6;1;1957;65;-98;1;0;2;2;2;3;-98;-98;2;1;0;0;0;0;0;0;1;6;11;-98;-98;-98;-98;1;43;0;-98;-98;-98;-97;2;6;6;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;-98;-98;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;-98;-98;-98;0;-98;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;0;0;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;1;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4;1;0;0;0;0;0;0;0;0;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;5;5;5;5;1;5;2;1;1;1;1;5;1;2;2;1;5;1;1;-98;0;0;0;10;0;0;2;175;3;0;-97;3;1;1;-97;-97;-98;0;-97;-97;24;-97;200;50;4;1;2;3;7;1;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1;0;0;0;0;0;0;0;0;0;1;1977;-98;-98;-98;-98;-98;-98;-98;-98;0;-98;-98;-98;1;0;0;10;0;0;1;0;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;7;-97;-98;0;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;1;-98;-98;-98;-98;-98;-98;-98;0;-98;0;0;0;4;-98;3;1;1;1;1;1;1;1;1;1;1;1;4;200;3;0;102;1;1;1;1;-98;10;1;1;3;24;100;10;30;3;1;2;7;9;3;0;55.13;65;1;1;4481.7358;0;62;-98;-98;16;-98;46;2;62;-98;0;1;0;0;0;0;0;0;0;0;0;0;0;81;16;1;1;-98;-98;-98;-98;-98;-98;5487
